primary_trips,work_trip,study_trip,shopping_trips,recreational_activity,social_activity,e_learning,teleshopping,teleworking,distance_traveled,mode_of_transport,mode_transport,reason_of_mode,change_mode,transport_mode,fac_inf_mode,fac_res_movement,private_car,trotro,uber_bolt,bicycle,motrobike,walking,gender,age,edu,edu_level,employ_status,income,marital_status,household_car_own,motor_bicycle_own
work,2 trips/week,never,2 trips/week,never,1 trip/week,never,never,never,30.01km and above,trotro,Paratransit,availability,No,trotro,availability,perception of infection,extremely unlikely,extremely likely,likely,neutral,neutral,unlikely,Male,31 - 40 years,HND/diploma,HND/diploma,Formally Employed,501 - 1000 cedis,Married,No,No
work,5 or more trips/week,4 trip/week,4 trip/week,5 or more trips/week,4 trip/week,3/week,4/week,4/week,20.01 - 30km,trotro,Paratransit,availability,No,trotro,availability,wearing of nose mask,extremely unlikely,unlikely,extremely unlikely,extremely unlikely,unlikely,neutral,Male,25 - 30 years,Bachelors degree,first degree,Self Employed,less 100 cedis,Single,No,No
shopping,never,1 trip/week,2 trips/week,1 trip/week,1 trip/week,2/week,never,never,30.01km and above,trotro,Paratransit,cost,No,trotro,cost,perception of infection,neutral,extremely likely,neutral,likely,likely,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Single,No,No
shopping,never,never,1 trip/week,1 trip/week,1 trip/week,4/week,never,never,0 - 5km,uber/bolt,Ride_hailing,comfort,No,uber/bolt,comfort,perception of infection,neutral,likely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Female,25 - 30 years,Postgraduate,postgraduate,Unemployed,501 - 1000 cedis,Single,No,no
shopping,3 trips/week,2 trips/week,4 trip/week,never,1 trip/week,5/more/week,3/week,never,30.01km and above,private car,Private_transport,safety ans security,No,private car,safety ans security,perception of infection,extremely unlikely,likely,extremely likely,extremely unlikely,neutral,unlikely,Female,18 - 24 years,Bachelors degree,first degree,Unemployed,101 - 500 cedis,Single,No,No
work,1 trip/week,never,never,1 trip/week,1 trip/week,never,never,never,30.01km and above,trotro,Paratransit,safety ans security,No,trotro,safety ans security,perception of infection,extremely unlikely,likely,unlikely,unlikely,unlikely,unlikely,Male,31 - 40 years,High school certififcate,high school certififcate,Unemployed,less 100 cedis,Married,No,No
study,never,2 trips/week,never,1 trip/week,1 trip/week,never,never,1/week,5.01 - 10km,trotro,Paratransit,safety ans security,No,trotro,comfort,wearing of nose mask,extremely unlikely,likely,unlikely,extremely unlikely,neutral,extremely unlikely,Female,18 - 24 years,High school certififcate,high school certififcate,Unemployed,less 100 cedis,Single,No,No
study,5 or more trips/week,5 or more trips/week,4 trip/week,2 trips/week,3 trips/week,4/week,4/week,4/week,20.01 - 30km,uber/bolt,Ride_hailing,cost,No,uber/bolt,cost,social distance,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,neutral,likely,Male,25 - 30 years,High school certififcate,high school certififcate,Self Employed,501 - 1000 cedis,Married,No,No
work,1 trip/week,1 trip/week,1 trip/week,1 trip/week,1 trip/week,1/week,never,1/week,20.01 - 30km,taxi,Paratransit,safety ans security,Yes,uber/bolt,safety ans security,social distance,unlikely,extremely unlikely,extremely unlikely,unlikely,unlikely,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Student,101 - 500 cedis,Single,No,No
study,never,1 trip/week,never,never,never,never,never,never,30.01km and above,taxi,Paratransit,availability,Yes,private car,social distance,perception of infection,extremely unlikely,likely,extremely unlikely,likely,likely,likely,Female,18 - 24 years,Bachelors degree,first degree,Student,less 100 cedis,Single,No,No
work,1 trip/week,1 trip/week,1 trip/week,never,never,1/week,1/week,1/week,5.01 - 10km,trotro,Paratransit,availability,No,trotro,availability,wearing of nose mask,likely,likely,likely,likely,likely,likely,Male,25 - 30 years,Bachelors degree,first degree,Self Employed,101 - 500 cedis,Single,No,Yes
work,5 or more trips/week,1 trip/week,never,never,3 trips/week,never,never,never,0 - 5km,trotro,Paratransit,availability,No,trotro,availability,perception of infection,neutral,likely,unlikely,unlikely,neutral,neutral,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Single,No,No
others,1 trip/week,never,1 trip/week,never,2 trips/week,1/week,never,never,5.01 - 10km,trotro,Paratransit,safety ans security,No,trotro,safety ans security,frequent washing of hands,extremely unlikely,extremely likely,unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,18 - 24 years,Bachelors degree,first degree,Student,less 100 cedis,Single,No,Yes
shopping,never,1 trip/week,2 trips/week,2 trips/week,1 trip/week,1/week,never,never,20.01 - 30km,trotro,Paratransit,cost,Yes,taxi,cost,never reduce my movement,extremely unlikely,likely,neutral,likely,extremely likely,likely,Male,31 - 40 years,Bachelors degree,first degree,Formally Employed,501 - 1000 cedis,Married,No,No
work,5 or more trips/week,never,1 trip/week,never,never,never,never,never,5.01 - 10km,trotro,Paratransit,cost,No,trotro,cost,perception of infection,extremely unlikely,extremely likely,likely,extremely unlikely,extremely unlikely,neutral,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,501 - 1000 cedis,Single,No,Yes
work,4 trip/week,never,never,never,never,2/week,never,never,5.01 - 10km,trotro,Paratransit,safety ans security,No,trotro,safety ans security,perception of infection,unlikely,likely,extremely unlikely,unlikely,unlikely,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Single,No,No
work,5 or more trips/week,never,never,never,1 trip/week,never,never,never,20.01 - 30km,trotro,Paratransit,safety ans security,No,trotro,safety ans security,frequent washing of hands,unlikely,likely,likely,likely,likely,likely,Male,25 - 30 years,HND/diploma,HND/diploma,Unemployed,501 - 1000 cedis,Single,No,No
work,4 trip/week,never,3 trips/week,never,never,1/week,1/week,never,5.01 - 10km,private car,Private_transport,availability,Yes,uber/bolt,safety ans security,social distance,unlikely,unlikely,neutral,extremely unlikely,extremely unlikely,likely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,2501 - 3500 cedis,Single,Yes,No
study,never,2 trips/week,1 trip/week,never,1 trip/week,2/week,1/week,never,5.01 - 10km,trotro,Paratransit,travel cost time,No,trotro,travel cost time,wearing of nose mask,neutral,neutral,neutral,neutral,neutral,neutral,Male,25 - 30 years,Bachelors degree,first degree,Student,less 100 cedis,Single,No,No
study,1 trip/week,2 trips/week,never,never,never,2/week,2/week,never,30.01km and above,uber/bolt,Ride_hailing,infection concern,No,uber/bolt,infection concern,wearing of nose mask,extremely unlikely,extremely likely,unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,18 - 24 years,Bachelors degree,first degree,Student,101 - 500 cedis,Single,No,No
study,2 trips/week,2 trips/week,1 trip/week,2 trips/week,3 trips/week,3/week,3/week,2/week,30.01km and above,trotro,Paratransit,safety ans security,No,trotro,safety ans security,perception of infection,extremely unlikely,likely,neutral,extremely unlikely,extremely unlikely,likely,Male,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,1501 - 2500 cedis,Single,Yes,No
study,1 trip/week,2 trips/week,1 trip/week,1 trip/week,2 trips/week,never,never,1/week,5.01 - 10km,trotro,Paratransit,availability,Yes,trotro,availability,social distance,unlikely,likely,neutral,unlikely,unlikely,neutral,Male,25 - 30 years,Postgraduate,postgraduate,Student,501 - 1000 cedis,Single,No,No
work,2 trips/week,1 trip/week,1 trip/week,1 trip/week,1 trip/week,1/week,never,never,20.01 - 30km,trotro,Paratransit,infection concern,No,trotro,infection concern,wearing of nose mask,extremely unlikely,extremely likely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Single,No,No
others,never,5 or more trips/week,1 trip/week,never,5 or more trips/week,4/week,4/week,2/week,30.01km and above,taxi,Paratransit,comfort,Yes,motor bike,social distance,frequent washing of hands,neutral,extremely likely,likely,neutral,neutral,neutral,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Single,No,Yes
work,5 or more trips/week,never,never,never,1 trip/week,never,never,never,10.01 - 15km,trotro,Paratransit,cost,No,trotro,cost,perception of infection,unlikely,neutral,unlikely,unlikely,unlikely,likely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Single,No,No
others,1 trip/week,1 trip/week,1 trip/week,2 trips/week,1 trip/week,1/week,1/week,2/week,10.01 - 15km,uber/bolt,Ride_hailing,safety ans security,Yes,private car,infection concern,social distance,likely,neutral,likely,neutral,neutral,unlikely,Female,18 - 24 years,Bachelors degree,first degree,Student,101 - 500 cedis,Single,No,No
work,1 trip/week,never,1 trip/week,1 trip/week,1 trip/week,never,1/week,never,20.01 - 30km,trotro,Paratransit,cost,Yes,taxi,social distance,social distance,neutral,extremely likely,neutral,unlikely,unlikely,extremely unlikely,Male,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,501 - 1000 cedis,Single,No,No
work,5 or more trips/week,1 trip/week,never,never,never,never,never,never,20.01 - 30km,trotro,Paratransit,safety ans security,No,trotro,safety ans security,never reduce my movement,unlikely,likely,extremely unlikely,unlikely,likely,extremely unlikely,Male,18 - 24 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Single,No,No
work,5 or more trips/week,never,never,never,never,1/week,1/week,never,10.01 - 15km,trotro,Paratransit,safety ans security,No,trotro,safety ans security,social distance,extremely unlikely,likely,unlikely,unlikely,unlikely,unlikely,Male,18 - 24 years,Junior High certififcate,junior high certificate,Unemployed,101 - 500 cedis,Single,No,No
work,5 or more trips/week,never,4 trip/week,2 trips/week,4 trip/week,never,never,3/week,0 - 5km,trotro,Paratransit,availability,No,trotro,availability,never reduce my movement,unlikely,likely,extremely unlikely,extremely unlikely,extremely unlikely,neutral,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,101 - 500 cedis,Single,No,No
work,1 trip/week,1 trip/week,never,never,1 trip/week,never,1/week,1/week,30.01km and above,trotro,Paratransit,safety ans security,No,trotro,safety ans security,social distance,extremely unlikely,likely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,501 - 1000 cedis,Single,No,No
work,1 trip/week,1 trip/week,1 trip/week,1 trip/week,1 trip/week,1/week,1/week,1/week,0 - 5km,uber/bolt,Ride_hailing,safety ans security,No,uber/bolt,safety ans security,wearing of nose mask,extremely unlikely,likely,unlikely,neutral,neutral,likely,Female,18 - 24 years,Bachelors degree,first degree,Student,101 - 500 cedis,Single,No,No
work,1 trip/week,never,1 trip/week,1 trip/week,1 trip/week,3/week,never,1/week,30.01km and above,trotro,Paratransit,availability,No,trotro,infection concern,perception of infection,neutral,likely,unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,25 - 30 years,Bachelors degree,first degree,Student,501 - 1000 cedis,Single,Yes,Yes
study,never,5 or more trips/week,never,never,never,never,never,never,30.01km and above,trotro,Paratransit,comfort,No,trotro,comfort,never reduce my movement,extremely unlikely,extremely likely,unlikely,neutral,unlikely,likely,Male,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
study,never,never,never,never,never,never,never,never,0 - 5km,trotro,Paratransit,cost,No,trotro,cost,perception of infection,extremely unlikely,likely,unlikely,neutral,neutral,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Single,No,No
study,never,never,never,never,never,never,never,never,5.01 - 10km,trotro,Paratransit,cost,No,trotro,cost,social distance,extremely unlikely,extremely likely,likely,likely,likely,likely,Male,25 - 30 years,Bachelors degree,first degree,Unemployed,101 - 500 cedis,Married,No,Yes
work,2 trips/week,never,2 trips/week,never,2 trips/week,never,never,never,0 - 5km,private car,Private_transport,availability,No,private car,availability,perception of infection,extremely unlikely,likely,neutral,unlikely,unlikely,extremely unlikely,Male,41 - 50 years,Postgraduate,postgraduate,Formally Employed,2501 - 3500 cedis,Married,Yes,No
work,5 or more trips/week,2 trips/week,4 trip/week,never,never,never,2/week,never,30.01km and above,trotro,Paratransit,safety ans security,No,trotro,safety ans security,social distance,neutral,extremely likely,likely,neutral,neutral,likely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,501 - 1000 cedis,Single,No,No
work,5 or more trips/week,1 trip/week,never,1 trip/week,never,2/week,1/week,never,10.01 - 15km,trotro,Paratransit,cost,No,trotro,cost,perception of infection,neutral,extremely likely,neutral,extremely unlikely,unlikely,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,501 - 1000 cedis,Single,No,No
study,1 trip/week,5 or more trips/week,2 trips/week,1 trip/week,2 trips/week,1/week,2/week,never,30.01km and above,trotro,Paratransit,comfort,No,trotro,comfort,social distance,extremely likely,extremely unlikely,unlikely,neutral,likely,unlikely,Male,18 - 24 years,Bachelors degree,first degree,Student,501 - 1000 cedis,Single,No,Yes
study,never,5 or more trips/week,1 trip/week,1 trip/week,1 trip/week,never,never,never,10.01 - 15km,trotro,Paratransit,cost,No,trotro,safety ans security,perception of infection,extremely unlikely,extremely likely,likely,extremely unlikely,unlikely,extremely unlikely,Male,25 - 30 years,Bachelors degree,first degree,Student,501 - 1000 cedis,Married,No,No
work,2 trips/week,1 trip/week,never,never,2 trips/week,1/week,2/week,never,30.01km and above,trotro,Paratransit,safety ans security,No,trotro,safety ans security,wearing of nose mask,unlikely,extremely likely,extremely unlikely,neutral,neutral,likely,Male,25 - 30 years,Postgraduate,postgraduate,Formally Employed,1501 - 2500 cedis,Single,No,No
work,5 or more trips/week,never,1 trip/week,1 trip/week,1 trip/week,never,never,never,30.01km and above,trotro,Paratransit,availability,No,trotro,availability,perception of infection,unlikely,extremely likely,likely,neutral,likely,neutral,Female,18 - 24 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Single,No,No
others,never,never,never,never,never,5/more/week,never,never,0 - 5km,private car,Private_transport,availability,No,private car,availability,perception of infection,extremely unlikely,extremely likely,likely,extremely likely,extremely likely,likely,Female,18 - 24 years,Bachelors degree,first degree,Student,101 - 500 cedis,Single,No,No
study,1 trip/week,5 or more trips/week,3 trips/week,3 trips/week,2 trips/week,1/week,never,2/week,5.01 - 10km,trotro,Paratransit,cost,No,trotro,cost,wearing of nose mask,extremely unlikely,likely,extremely unlikely,extremely unlikely,unlikely,extremely unlikely,Male,25 - 30 years,Postgraduate,postgraduate,Formally Employed,501 - 1000 cedis,Cohabitation,No,Yes
study,5 or more trips/week,5 or more trips/week,5 or more trips/week,never,2 trips/week,never,never,never,30.01km and above,trotro,Paratransit,infection concern,No,trotro,infection concern,never reduce my movement,extremely unlikely,extremely likely,likely,unlikely,unlikely,extremely likely,Female,18 - 24 years,Bachelors degree,first degree,Student,101 - 500 cedis,Single,No,No
work,1 trip/week,1 trip/week,1 trip/week,1 trip/week,1 trip/week,1/week,1/week,1/week,30.01km and above,private car,Private_transport,comfort,No,private car,comfort,never reduce my movement,extremely unlikely,likely,unlikely,extremely unlikely,extremely unlikely,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Self Employed,1501 - 2500 cedis,Single,Yes,No
work,5 or more trips/week,never,1 trip/week,3 trips/week,5 or more trips/week,3/week,3/week,never,0 - 5km,private car,Private_transport,comfort,Yes,private car,comfort,perception of infection,neutral,likely,likely,neutral,neutral,likely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,less 100 cedis,Single,Yes,No
work,2 trips/week,never,1 trip/week,never,never,2/week,2/week,3/week,30.01km and above,trotro,Paratransit,cost,Yes,private car,infection concern,perception of infection,extremely unlikely,extremely likely,extremely unlikely,unlikely,unlikely,unlikely,Male,41 - 50 years,Bachelors degree,first degree,Formally Employed,3500 - above cedis,Married,Yes,No
study,4 trip/week,4 trip/week,2 trips/week,never,never,5/more/week,4/week,never,30.01km and above,private car,Private_transport,safety ans security,No,private car,safety ans security,perception of infection,unlikely,extremely likely,likely,unlikely,unlikely,likely,Male,31 - 40 years,Bachelors degree,first degree,Formally Employed,2501 - 3500 cedis,Married,Yes,No
work,4 trip/week,never,1 trip/week,never,never,never,never,never,5.01 - 10km,trotro,Paratransit,cost,Yes,private car,infection concern,perception of infection,unlikely,extremely likely,likely,extremely unlikely,extremely unlikely,extremely unlikely,Male,31 - 40 years,Postgraduate,postgraduate,Self Employed,3500 - above cedis,Married,Yes,No
work,1 trip/week,never,never,never,never,never,never,never,30.01km and above,trotro,Paratransit,infection concern,No,trotro,infection concern,never reduce my movement,extremely unlikely,extremely likely,unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,25 - 30 years,Postgraduate,postgraduate,Formally Employed,1501 - 2500 cedis,Single,No,No
work,5 or more trips/week,never,1 trip/week,never,3 trips/week,2/week,never,never,10.01 - 15km,trotro,Paratransit,cost,No,trotro,cost,never reduce my movement,extremely unlikely,extremely likely,extremely unlikely,neutral,neutral,neutral,Male,31 - 40 years,Bachelors degree,first degree,Formally Employed,2501 - 3500 cedis,Single,No,No
shopping,never,never,2 trips/week,never,never,never,never,never,10.01 - 15km,trotro,Paratransit,comfort,Yes,taxi,social distance,social distance,unlikely,extremely likely,neutral,likely,likely,unlikely,Female,18 - 24 years,Bachelors degree,first degree,Student,101 - 500 cedis,Single,No,No
study,5 or more trips/week,5 or more trips/week,1 trip/week,1 trip/week,2 trips/week,never,never,2/week,20.01 - 30km,trotro,Paratransit,safety ans security,No,trotro,safety ans security,perception of infection,neutral,extremely likely,likely,unlikely,likely,unlikely,Male,31 - 40 years,Postgraduate,postgraduate,Formally Employed,2501 - 3500 cedis,Single,No,No
study,1 trip/week,4 trip/week,1 trip/week,never,1 trip/week,never,never,never,10.01 - 15km,trotro,Paratransit,travel cost time,No,trotro,travel cost time,perception of infection,extremely unlikely,likely,unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,25 - 30 years,Bachelors degree,first degree,Student,501 - 1000 cedis,Single,No,No
others,never,never,never,never,never,1/week,never,never,0 - 5km,walking,Non_motorized_transport,safety ans security,No,walking,safety ans security,wearing of nose mask,neutral,likely,extremely likely,neutral,neutral,neutral,Male,25 - 30 years,High school certififcate,high school certififcate,Unemployed,less 100 cedis,Single,No,No
work,2 trips/week,never,2 trips/week,never,never,never,never,never,20.01 - 30km,trotro,Paratransit,safety ans security,No,trotro,cost,wearing of nose mask,likely,neutral,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Female,31 - 40 years,HND/diploma,HND/diploma,Self Employed,501 - 1000 cedis,Married,No,No
study,never,5 or more trips/week,1 trip/week,1 trip/week,1 trip/week,never,never,1/week,5.01 - 10km,private car,Private_transport,safety ans security,No,private car,safety ans security,perception of infection,unlikely,extremely likely,unlikely,extremely unlikely,extremely unlikely,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Single,Yes,No
work,5 or more trips/week,4 trip/week,4 trip/week,1 trip/week,1 trip/week,2/week,2/week,never,10.01 - 15km,private car,Private_transport,comfort,No,private car,comfort,perception of infection,neutral,extremely likely,extremely unlikely,unlikely,likely,unlikely,Female,41 - 50 years,Postgraduate,postgraduate,Student,1501 - 2500 cedis,Married,Yes,No
study,never,1 trip/week,never,never,never,never,never,never,30.01km and above,taxi,Paratransit,availability,Yes,private car,social distance,perception of infection,unlikely,likely,likely,likely,likely,unlikely,Female,18 - 24 years,Bachelors degree,first degree,Student,less 100 cedis,Single,No,No
others,1 trip/week,1 trip/week,1 trip/week,1 trip/week,1 trip/week,1/week,never,never,30.01km and above,trotro,Paratransit,safety ans security,No,trotro,safety ans security,perception of infection,extremely unlikely,likely,neutral,extremely unlikely,unlikely,extremely unlikely,Male,31 - 40 years,Bachelors degree,first degree,Formally Employed,501 - 1000 cedis,Married,No,No
others,never,never,never,never,1 trip/week,1/week,never,never,30.01km and above,motor bike,Non_motorized_transport,safety ans security,No,motor bike,safety ans security,wearing of nose mask,unlikely,extremely likely,likely,extremely unlikely,extremely unlikely,neutral,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Cohabitation,No,Yes
work,2 trips/week,never,never,never,never,never,never,never,5.01 - 10km,taxi,Paratransit,safety ans security,No,taxi,safety ans security,never reduce my movement,likely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,18 - 24 years,No formal Education,no certificate and can not read,Self Employed,101 - 500 cedis,Single,No,No
work,5 or more trips/week,never,2 trips/week,never,never,never,never,never,0 - 5km,private car,Private_transport,travel cost time,No,private car,travel cost time,never reduce my movement,unlikely,extremely likely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,25 - 30 years,Bachelors degree,first degree,Unemployed,501 - 1000 cedis,Single,No,No
others,3 trips/week,1 trip/week,4 trip/week,5 or more trips/week,2 trips/week,1/week,1/week,2/week,5.01 - 10km,uber/bolt,Ride_hailing,safety ans security,No,uber/bolt,safety ans security,wearing of nose mask,extremely unlikely,likely,extremely likely,unlikely,unlikely,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Student,1501 - 2500 cedis,Single,No,No
others,2 trips/week,4 trip/week,1 trip/week,1 trip/week,4 trip/week,never,never,never,30.01km and above,private car,Private_transport,travel cost time,No,private car,travel cost time,never reduce my movement,neutral,extremely likely,unlikely,extremely unlikely,extremely unlikely,unlikely,Male,31 - 40 years,Postgraduate,postgraduate,Formally Employed,1501 - 2500 cedis,Married,Yes,No
study,never,3 trips/week,2 trips/week,never,never,2/week,never,never,30.01km and above,taxi,Paratransit,infection concern,No,taxi,infection concern,perception of infection,extremely unlikely,likely,unlikely,unlikely,unlikely,neutral,Male,25 - 30 years,Bachelors degree,first degree,Student,501 - 1000 cedis,Single,No,Yes
others,never,never,1 trip/week,2 trips/week,2 trips/week,never,never,never,30.01km and above,trotro,Paratransit,availability,No,trotro,availability,perception of infection,unlikely,likely,neutral,neutral,neutral,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Single,No,No
shopping,never,1 trip/week,1 trip/week,never,never,never,never,never,30.01km and above,trotro,Paratransit,comfort,No,trotro,comfort,perception of infection,extremely unlikely,likely,unlikely,unlikely,unlikely,neutral,Female,18 - 24 years,High school certififcate,high school certififcate,Student,less 100 cedis,Single,No,No
study,never,5 or more trips/week,never,never,never,3/week,never,never,10.01 - 15km,bicycle,Non_motorized_transport,safety ans security,Yes,trotro,safety ans security,wearing of nose mask,unlikely,likely,unlikely,unlikely,unlikely,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Student,501 - 1000 cedis,Single,No,Yes
